CatalogEntryAttributeDictionaryAttributeRelationship,,,,,,
PartNumber,AttributeIdentifier,ValueIdentifier,Value,Usage,Sequence,Delete
SUB_MAG_01-01,fulfillmentFrequency,1,1,Defining,1,
SUB_MAG_01-01,paymentFrequency,0,0,Defining,2,
SUB_MAG_01-01,timePeriod,1,1,Defining,3,
SUB_MAG_01-02,fulfillmentFrequency,1,1,Defining,1,
SUB_MAG_01-02,paymentFrequency,0,0,Defining,2,
SUB_MAG_01-02,timePeriod,2,2,Defining,3,
SUB_MAG_02-01,fulfillmentFrequency,1,1,Defining,1,
SUB_MAG_02-01,paymentFrequency,0,0,Defining,2,
SUB_MAG_02-01,timePeriod,1,1,Defining,3,
SUB_MAG_02-02,fulfillmentFrequency,1,1,Defining,1,
SUB_MAG_02-02,paymentFrequency,0,0,Defining,2,
SUB_MAG_02-02,timePeriod,2,2,Defining,3,
